@relation observations.arff

@attribute LOCALS numeric
@attribute DEREFERNCES numeric
@attribute GOTO numeric
@attribute INVOCATIONS numeric
@attribute THROWS numeric
@attribute FIELDS numeric
@attribute NEW numeric
@attribute STATEMENTS numeric
@attribute IF numeric
@attribute ASSIGNMENTS numeric
@attribute FIELDS_WRITTEN numeric
@attribute EQUAL numeric
@attribute class {hot,cold}

@data
33,2,6,4,0,0,2,22,5,12,0,0,?
28,3,5,2,0,0,2,18,4,10,0,0,?
29,3,5,3,0,0,2,19,4,10,0,0,?
15,1,3,1,0,0,1,11,3,6,0,0,?
16,1,3,2,0,0,1,12,3,6,0,0,?
55,2,3,20,0,1,7,35,2,18,0,0,?
48,2,1,18,0,1,7,31,1,17,0,0,?
10,2,2,2,0,1,0,9,2,3,0,0,?
8,1,2,1,0,0,0,7,2,2,0,0,?
7,2,1,2,0,1,0,7,1,2,0,0,?
28,7,4,6,0,5,0,19,4,11,2,2,?
27,6,4,6,0,4,0,18,4,10,1,2,?
23,5,3,5,0,3,0,15,3,8,1,2,?
39,7,6,9,0,5,0,25,6,14,2,3,?
38,6,6,9,0,4,0,24,6,13,1,3,?
34,5,5,8,0,3,0,21,5,11,1,3,?
37,7,6,8,0,5,0,24,6,14,2,3,?
36,6,6,8,0,4,0,23,6,13,1,3,?
32,5,5,7,0,3,0,20,5,11,1,3,?
26,7,4,5,0,5,0,18,4,11,2,2,?
25,6,4,5,0,4,0,17,4,10,1,2,?
21,5,3,4,0,3,0,14,3,8,1,2,?
37,7,6,8,0,5,0,24,6,14,2,3,?
36,6,6,8,0,4,0,23,6,13,1,3,?
32,5,5,7,0,3,0,20,5,11,1,3,?
35,7,6,7,0,5,0,23,6,14,2,3,?
34,6,6,7,0,4,0,22,6,13,1,3,?
30,5,5,6,0,3,0,19,5,11,1,3,?
9,3,2,1,0,0,0,8,1,2,0,0,?
10,3,1,2,0,0,0,7,1,2,0,0,?
10,3,0,2,0,1,0,6,0,3,0,0,?
