@relation training_10.arff

@attribute INVOCATIONS numeric
@attribute ASSIGNMENTS numeric
@attribute STATEMENTS numeric
@attribute EQUAL numeric
@attribute GOTO numeric
@attribute IF numeric
@attribute FIELDS numeric
@attribute FIELDS_WRITTEN numeric
@attribute LOCALS numeric
@attribute DEREFERNCES numeric
@attribute NEW numeric
@attribute THROWS numeric
@attribute class {hot,cold}

@data
1,1,5,0,0,0,1,0,6,3,0,0,?
0,2,6,1,2,1,2,0,7,3,0,0,?
0,2,5,1,1,1,1,0,6,2,0,0,?
0,1,4,0,0,0,1,1,4,3,0,0,?
0,1,3,0,0,0,1,0,4,2,0,0,?
0,1,4,0,0,0,1,1,4,3,0,0,?
2,3,6,0,1,1,1,0,9,2,0,0,?
6,8,14,0,3,3,2,0,22,3,1,0,?
6,8,14,0,3,3,2,0,22,3,1,0,?
5,8,14,0,2,2,3,0,22,4,2,1,?
7,11,18,3,5,4,1,0,28,2,0,0,?
6,10,17,3,5,4,1,0,26,2,0,0,?
5,8,14,3,4,3,1,0,20,2,0,0,?
2,4,7,1,1,1,1,0,10,2,0,0,?
8,8,12,1,1,1,0,0,20,1,1,0,?
1,1,4,1,1,1,0,0,4,1,0,0,?
30,34,52,6,8,6,5,0,90,7,4,0,?
19,23,37,5,6,5,5,0,62,7,3,0,?
24,28,44,6,8,6,4,0,74,6,3,0,?
13,17,29,5,6,5,4,0,46,6,2,0,?
22,27,41,5,6,5,5,0,71,7,3,0,?
11,16,26,4,4,4,5,0,43,7,2,0,?
16,21,33,5,6,5,4,0,55,6,2,0,?
5,10,18,4,4,4,4,0,27,6,1,0,?
20,24,37,4,5,4,4,0,64,6,3,0,?
9,13,22,3,3,3,4,0,36,6,2,0,?
14,18,29,4,5,4,3,0,48,5,2,0,?
3,7,14,3,3,3,3,0,20,5,1,0,?
9,10,23,3,4,3,3,0,41,6,0,0,?
6,6,16,2,2,2,3,0,29,6,0,0,?
8,8,20,3,4,3,2,0,34,5,0,0,?
5,4,13,2,2,2,2,0,22,5,0,0,?
2,0,6,0,0,0,0,0,9,3,0,0,?
3,1,8,0,0,0,0,0,14,3,0,0,?
1,0,3,0,0,0,0,0,2,1,0,0,?
20,18,35,0,3,2,1,0,55,2,7,0,?
18,17,31,0,1,1,1,0,48,2,7,0,?
2,3,9,0,2,2,1,0,10,2,0,0,?
1,2,7,0,2,2,0,0,8,1,0,0,?
2,2,7,0,1,1,1,0,7,2,0,0,?
6,11,19,2,4,4,5,2,28,7,0,0,?
6,10,18,2,4,4,4,1,27,6,0,0,?
5,8,15,2,3,3,3,1,23,5,0,0,?
9,14,25,3,6,6,5,2,39,7,0,0,?
9,13,24,3,6,6,4,1,38,6,0,0,?
8,11,21,3,5,5,3,1,34,5,0,0,?
8,14,24,3,6,6,5,2,37,7,0,0,?
8,13,23,3,6,6,4,1,36,6,0,0,?
7,11,20,3,5,5,3,1,32,5,0,0,?
5,11,18,2,4,4,5,2,26,7,0,0,?
5,10,17,2,4,4,4,1,25,6,0,0,?
4,8,14,2,3,3,3,1,21,5,0,0,?
8,14,24,3,6,6,5,2,37,7,0,0,?
8,13,23,3,6,6,4,1,36,6,0,0,?
7,11,20,3,5,5,3,1,32,5,0,0,?
7,14,23,3,6,6,5,2,35,7,0,0,?
7,13,22,3,6,6,4,1,34,6,0,0,?
6,11,19,3,5,5,3,1,30,5,0,0,?
1,2,8,0,2,1,0,0,9,3,0,0,?
2,2,7,0,1,1,0,0,10,3,0,0,?
2,3,6,0,0,0,1,0,10,3,0,0,?
1,11,18,0,3,2,4,0,29,9,0,0,?
0,3,8,0,1,1,1,0,9,4,0,0,?
34,33,56,2,8,6,1,0,103,3,4,0,?
33,33,55,2,8,6,1,0,99,3,4,0,?
30,29,48,1,5,4,1,0,86,3,4,0,?
20,20,35,1,4,3,1,0,63,3,3,0,?
17,16,28,0,1,1,1,0,50,3,3,0,?
8,7,14,0,0,0,0,0,30,5,0,0,?
1,2,7,0,0,0,2,0,10,5,0,0,?
18,8,25,0,0,0,4,0,46,6,0,0,?
1,2,7,0,1,1,1,0,9,4,0,0,?
2,3,9,0,2,2,1,0,12,4,0,0,?
11,14,26,1,6,5,1,0,43,4,1,0,?
9,13,24,1,6,5,1,0,39,4,1,0,?
5,8,16,0,3,3,1,0,24,4,1,0,?
4,4,12,2,2,2,3,0,16,5,0,0,?
3,3,10,2,2,2,2,0,12,4,0,0,?
2,1,7,1,1,1,1,0,7,3,0,0,?
8,6,17,2,3,2,1,0,22,3,1,0,?
5,4,12,1,1,1,1,0,15,3,1,0,?
22,19,33,0,2,1,0,0,52,2,4,0,?
20,17,30,0,1,1,0,0,47,2,4,0,?
2,2,6,0,0,0,0,0,9,3,0,0,?
1,2,7,1,2,1,0,0,7,2,0,0,?
1,2,6,1,1,1,0,0,7,2,0,0,?
24,22,37,1,4,3,0,0,67,4,2,0,?
12,12,24,1,4,3,0,0,36,4,1,0,?
9,8,17,0,1,1,0,0,23,4,1,0,?
15,20,33,2,8,6,0,0,56,3,0,0,?
12,18,30,2,8,6,0,0,49,3,0,0,?
8,12,21,1,5,4,0,0,33,3,0,0,?
6,9,17,1,4,3,0,0,26,3,0,0,?
2,3,8,0,1,1,0,0,10,3,0,0,?
7,6,12,0,0,0,0,0,20,3,1,0,?
6,5,12,0,0,0,0,0,18,4,1,0,?
0,1,9,0,1,1,1,0,9,7,0,0,?
80,28,101,0,2,1,2,0,183,8,7,0,?
1,1,4,0,0,0,0,0,4,1,0,0,?
14,16,27,2,6,4,0,0,49,3,0,0,?
15,18,30,3,7,5,0,0,54,3,0,0,?
15,18,29,3,6,5,0,0,56,3,0,0,?
5,7,15,1,4,3,0,0,23,3,0,0,?
2,3,8,0,1,1,0,0,10,3,0,0,?
3,4,7,0,0,0,1,0,12,3,0,0,?
0,2,4,0,0,0,2,0,6,3,0,0,?
1,4,9,1,3,2,2,0,11,3,0,0,?
1,4,8,1,2,2,2,0,11,3,0,0,?
0,2,6,1,2,1,1,0,6,2,0,0,?
3,1,7,0,0,0,1,0,8,3,0,0,?
1,0,3,0,0,0,0,0,2,1,0,0,?
4,9,10,0,0,0,5,5,8,5,0,0,?
1,0,3,0,0,0,0,0,2,1,0,0,?
0,0,1,0,0,0,0,0,0,0,0,0,?
3,6,7,0,0,0,3,3,6,3,0,0,?
9,16,25,0,3,2,3,2,43,7,1,0,?
2,4,10,0,1,1,1,1,14,4,0,0,?
0,1,2,0,0,0,1,0,2,1,0,0,?
0,1,3,0,0,0,1,1,2,2,0,0,?
0,1,2,0,0,0,1,1,0,1,0,0,?
1,0,5,0,0,0,0,0,6,3,0,0,?
0,0,1,0,0,0,0,0,0,0,0,0,?
40,38,49,0,0,0,0,0,88,0,6,0,?
2,3,5,0,0,0,0,0,7,1,0,0,?
1,0,3,0,0,0,0,0,2,1,0,0,?
1,1,7,0,0,0,1,1,9,5,0,0,?
0,0,1,0,0,0,0,0,0,0,0,0,?
7,12,18,1,1,1,7,3,21,8,1,0,?
5,10,15,1,1,1,6,3,17,7,1,0,?
3,2,5,0,0,0,1,0,4,1,0,0,?
1,2,5,0,0,0,2,0,7,3,0,0,?
1,4,8,0,0,0,4,1,12,6,0,0,?
0,3,4,0,0,0,3,3,0,3,0,0,?
0,0,1,0,0,0,0,0,0,0,0,0,?
1,0,3,0,0,0,0,0,2,1,0,0,?
1,8,13,0,0,0,4,2,22,9,0,0,?
3,0,6,0,1,0,0,0,4,1,0,0,?
2,2,5,0,0,0,0,0,6,1,0,0,?
2,14,20,0,4,2,6,2,27,8,3,0,?
0,7,10,0,2,1,4,2,12,4,2,0,?
2,2,6,0,0,0,0,0,7,1,1,1,?
0,1,2,0,0,0,1,1,0,1,0,0,?
5,14,22,0,0,0,6,5,37,12,0,0,?
0,2,6,0,2,1,1,0,6,2,0,0,?
0,2,5,0,1,1,1,0,6,2,0,0,?
2,4,10,0,1,1,3,1,13,5,1,0,?
1,2,7,0,1,1,2,0,9,4,0,0,?
1,0,3,0,0,0,0,0,2,1,0,0,?
1,1,3,0,0,0,0,0,4,1,0,0,?
0,1,3,0,0,0,0,0,3,1,0,0,?
1,0,3,0,0,0,0,0,2,1,0,0,?
0,2,4,0,0,0,1,0,5,2,1,0,?
1,1,3,0,0,0,0,0,4,1,0,0,?
1,0,3,0,0,0,0,0,2,1,0,0,?
0,1,2,0,0,0,1,0,2,1,0,0,?
0,1,3,0,0,0,1,1,2,2,0,0,?
1,3,4,0,0,0,1,0,6,1,0,0,?
1,1,4,0,0,0,1,0,4,2,0,0,?
0,1,3,0,0,0,1,1,2,2,0,0,?
0,1,2,0,0,0,1,0,2,1,0,0,?
0,1,3,0,0,0,1,1,2,2,0,0,?
0,1,2,0,0,0,1,0,2,1,0,0,?
0,1,3,0,0,0,1,1,2,2,0,0,?
0,1,2,0,0,0,1,0,2,1,0,0,?
15,19,25,1,2,1,2,0,44,3,2,0,?
13,17,23,1,2,1,2,0,39,3,2,0,?
1,2,5,0,0,0,0,0,6,1,0,0,?
0,1,3,0,0,0,1,1,2,2,0,0,?
0,1,2,0,0,0,1,0,2,1,0,0,?
0,1,2,0,0,0,1,0,2,1,0,0,?
4,5,7,0,0,0,1,0,11,1,1,0,?
0,1,2,0,0,0,1,0,2,1,0,0,?
0,1,3,0,0,0,1,1,2,2,0,0,?
1,2,4,0,0,0,2,1,2,2,0,0,?
10,20,25,0,0,0,10,8,28,10,4,0,?
0,0,1,0,0,0,0,0,0,0,0,0,?
1,2,7,0,3,2,1,0,6,1,0,0,?
0,1,3,0,1,1,1,0,2,1,0,0,?
1,0,2,0,0,0,0,0,0,0,0,0,?
1,0,3,0,0,0,0,0,1,1,0,0,?
1,0,5,0,0,0,0,0,6,3,0,0,?
1,0,2,0,0,0,0,0,0,0,0,0,?
1,0,3,0,0,0,0,0,2,1,0,0,?
1,0,3,0,0,0,0,0,2,1,0,0,?
6,9,29,0,6,3,6,0,37,13,0,0,?
6,9,28,0,5,3,6,0,38,13,0,0,?
6,9,28,0,5,3,6,0,38,13,0,0,?
6,9,27,0,4,3,6,0,39,13,0,0,?
6,9,28,0,5,3,6,0,38,13,0,0,?
6,9,27,0,4,3,6,0,39,13,0,0,?
6,9,27,0,4,3,6,0,39,13,0,0,?
6,9,26,0,3,3,6,0,40,13,0,0,?
1,0,7,0,0,0,0,0,12,5,0,0,?
1,0,5,0,0,0,0,0,8,3,0,0,?
4,4,7,0,0,0,0,0,11,1,1,0,?
110,41,131,0,0,0,12,10,70,12,8,0,?
3,3,10,0,1,1,2,0,14,5,0,0,?
1,2,7,0,1,1,1,0,8,4,0,0,?
3,3,10,0,1,1,2,0,14,5,0,0,?
1,2,7,0,1,1,1,0,8,4,0,0,?
15,16,23,0,1,0,1,0,37,2,2,0,?
3,3,7,0,1,0,0,0,9,1,0,0,?
3,3,6,0,0,0,0,0,9,1,0,0,?
