@relation observations_20.arff_clustered

@attribute Instance_number numeric
@attribute THROWS numeric
@attribute DEREFERNCES numeric
@attribute NEW numeric
@attribute STATEMENTS numeric
@attribute INVOCATIONS numeric
@attribute GOTO numeric
@attribute LOCALS numeric
@attribute EQUAL numeric
@attribute IF numeric
@attribute FIELDS_WRITTEN numeric
@attribute FIELDS numeric
@attribute ASSIGNMENTS numeric
@attribute class {hot,cold}
@attribute Cluster {cluster0,cluster1}

@data
261,0,7,4,47,26,3,74,3,3,0,6,34,?,cluster0
262,0,3,0,10,0,3,12,3,3,0,2,5,?,cluster0
263,0,2,0,8,0,2,10,2,2,0,1,4,?,cluster0
264,0,8,4,52,28,4,79,4,4,1,7,37,?,cluster1
265,0,4,0,15,2,4,17,4,4,1,3,8,?,cluster0
266,0,3,0,13,2,3,15,3,3,1,2,7,?,cluster0
267,0,8,4,50,26,4,77,4,4,1,7,36,?,cluster1
268,0,4,0,13,0,4,15,4,4,1,3,7,?,cluster0
269,0,3,0,11,0,3,13,3,3,1,2,6,?,cluster0
270,0,7,4,48,26,3,76,3,3,0,6,35,?,cluster0
271,0,3,0,11,0,3,14,3,3,0,2,6,?,cluster0
272,0,2,0,9,0,2,12,2,2,0,1,5,?,cluster0
273,0,1,0,6,4,0,5,0,0,0,0,0,?,cluster0
274,0,2,0,18,6,5,18,1,3,0,1,7,?,cluster0
275,0,2,0,17,6,4,18,1,3,0,1,7,?,cluster0
276,0,2,0,13,5,3,12,1,2,0,1,5,?,cluster0
277,0,2,0,12,5,2,12,1,2,0,1,5,?,cluster0
278,0,1,0,3,1,0,1,0,0,0,0,0,?,cluster0
279,0,4,0,8,2,0,6,0,0,4,4,7,?,cluster0
280,0,5,3,18,4,3,23,0,2,2,3,10,?,cluster0
281,0,3,2,11,3,1,13,0,1,2,2,6,?,cluster0
282,0,0,1,3,1,0,3,0,0,0,0,1,?,cluster0
283,0,2,0,4,0,1,4,0,1,0,0,0,?,cluster0
284,0,2,0,8,2,3,11,2,3,0,0,2,?,cluster0
285,0,4,0,12,2,4,19,3,4,0,2,5,?,cluster0
286,0,6,0,16,3,5,27,3,5,0,4,8,?,cluster1
287,0,6,0,16,3,5,27,3,5,0,4,8,?,cluster1
288,0,2,0,5,0,2,5,1,2,0,0,0,?,cluster0
289,0,2,0,3,0,0,4,0,0,0,1,1,?,cluster0
290,0,1,0,3,1,0,2,0,0,0,0,0,?,cluster0
291,0,2,0,3,0,0,4,0,0,0,1,1,?,cluster0
292,0,3,0,4,0,0,4,0,0,1,1,1,?,cluster0
293,0,2,0,3,0,0,4,0,0,0,1,1,?,cluster0
294,0,3,0,4,0,0,4,0,0,1,1,1,?,cluster0
295,0,2,0,3,0,0,4,0,0,0,1,1,?,cluster0
296,0,3,0,4,0,0,4,0,0,1,1,1,?,cluster0
297,0,2,0,3,0,0,4,0,0,0,1,1,?,cluster0
298,0,3,0,4,0,0,4,0,0,1,1,1,?,cluster0
299,0,2,0,3,0,0,4,0,0,0,1,1,?,cluster0
300,0,3,0,4,0,0,4,0,0,1,1,1,?,cluster0
301,0,3,0,5,0,0,9,0,0,0,2,3,?,cluster0
302,0,7,0,25,9,4,46,2,2,0,4,10,?,cluster0
303,0,7,0,24,9,3,45,2,2,0,4,10,?,cluster0
304,0,7,0,17,6,1,33,1,1,0,4,7,?,cluster0
305,0,1,0,6,1,2,6,0,1,0,0,2,?,cluster0
306,0,1,0,5,1,1,6,0,1,0,0,2,?,cluster0
307,0,4,2,23,11,4,36,3,3,0,2,13,?,cluster0
308,0,4,1,12,3,2,17,2,2,0,2,6,?,cluster0
309,0,3,1,8,1,1,10,1,1,0,1,3,?,cluster0
310,0,1,0,3,1,0,2,0,0,0,0,0,?,cluster0
311,0,3,0,7,1,2,6,0,1,1,3,4,?,cluster0
312,0,2,0,4,0,1,4,0,1,0,2,2,?,cluster0
313,0,4,1,12,5,0,17,0,0,1,3,8,?,cluster0
314,0,1,0,3,1,0,2,0,0,0,0,0,?,cluster0
315,0,2,0,4,1,0,4,0,0,0,0,0,?,cluster0
316,0,3,5,45,21,6,67,4,4,0,0,29,?,cluster1
317,0,3,7,62,29,10,97,5,7,0,0,37,?,cluster1
318,0,3,7,57,27,8,88,5,6,0,0,35,?,cluster1
319,0,3,7,61,28,10,95,5,7,0,0,37,?,cluster1
320,0,3,7,56,26,8,86,5,6,0,0,35,?,cluster1
321,0,3,3,28,11,3,39,2,2,0,0,18,?,cluster0
322,0,3,4,40,17,6,58,4,4,0,0,25,?,cluster1
323,0,3,6,57,25,10,88,5,7,0,0,33,?,cluster1
324,0,3,6,52,23,8,79,5,6,0,0,31,?,cluster1
325,0,3,6,56,24,10,86,5,7,0,0,33,?,cluster1
326,0,3,6,51,22,8,77,5,6,0,0,31,?,cluster1
327,0,3,2,23,7,3,30,2,2,0,0,14,?,cluster0
328,0,2,0,6,2,0,7,0,0,0,1,2,?,cluster0
329,0,2,2,8,3,0,12,0,0,0,0,3,?,cluster0
330,0,5,3,35,18,5,57,2,4,0,3,23,?,cluster1
331,0,4,2,27,12,5,43,2,4,0,2,17,?,cluster0
332,0,4,2,25,11,4,40,2,3,0,2,16,?,cluster0
333,0,4,2,23,10,3,37,2,2,0,2,15,?,cluster0
334,0,5,3,34,18,4,56,2,4,0,3,23,?,cluster0
335,0,4,2,26,12,4,42,2,4,0,2,17,?,cluster0
336,0,4,2,24,11,3,39,2,3,0,2,16,?,cluster0
337,0,4,2,22,10,2,36,2,2,0,2,15,?,cluster0
338,0,3,1,19,10,3,29,1,1,0,1,11,?,cluster0
339,0,2,2,20,11,2,30,1,1,0,0,10,?,cluster0
340,0,2,0,6,2,0,8,0,0,0,1,2,?,cluster0
341,0,4,0,15,4,4,27,3,4,0,0,9,?,cluster0
342,0,6,0,26,7,8,47,5,7,0,0,16,?,cluster1
343,1,3,1,20,5,6,32,3,5,0,0,11,?,cluster1
344,0,5,0,22,5,7,39,4,6,0,0,13,?,cluster1
345,1,2,1,16,3,5,24,2,4,0,0,8,?,cluster0
346,1,1,1,9,2,2,12,1,2,0,0,4,?,cluster0
347,1,1,1,6,2,1,7,1,1,0,0,2,?,cluster0
348,0,1,0,5,1,2,5,1,2,0,0,1,?,cluster0
349,0,4,1,29,11,8,45,2,6,0,1,16,?,cluster1
350,0,3,0,21,5,8,31,2,6,0,0,10,?,cluster1
351,0,6,2,38,17,8,64,2,7,0,2,24,?,cluster1
352,0,5,1,30,11,8,50,2,7,0,1,18,?,cluster1
353,0,4,1,29,11,8,47,2,7,0,1,17,?,cluster1
354,0,3,0,21,5,8,33,2,7,0,0,11,?,cluster1
355,0,2,1,19,9,4,29,1,4,0,1,11,?,cluster0
356,0,1,0,11,3,4,15,1,4,0,0,5,?,cluster0
357,0,1,0,3,0,1,2,1,1,0,0,0,?,cluster0
358,0,5,2,21,13,0,38,0,0,0,3,16,?,cluster0
359,0,2,2,12,7,0,20,0,0,0,1,8,?,cluster0
360,0,1,1,16,4,3,29,2,2,0,0,11,?,cluster0
361,0,1,1,10,2,1,15,1,1,0,0,7,?,cluster0
362,0,1,1,8,4,0,12,0,0,0,0,4,?,cluster0
363,0,4,0,6,0,1,6,0,1,0,0,0,?,cluster0
364,0,4,1,13,1,3,23,1,3,0,0,4,?,cluster0
365,0,4,0,11,1,3,18,1,3,0,0,2,?,cluster0
366,0,4,1,10,1,2,16,1,2,0,0,2,?,cluster0
367,0,4,0,6,1,0,4,0,0,3,4,5,?,cluster0
368,0,0,0,1,0,0,0,0,0,0,0,0,?,cluster0
369,0,1,1,9,4,1,11,0,0,0,0,4,?,cluster0
370,0,1,0,7,3,0,11,0,0,0,0,4,?,cluster0
371,0,3,0,5,1,0,6,0,0,0,0,0,?,cluster0
372,0,1,0,3,1,0,2,0,0,0,0,0,?,cluster0
373,0,1,0,4,2,0,4,0,0,0,0,1,?,cluster0
374,0,1,1,8,5,0,11,0,0,1,1,6,?,cluster0
375,0,31,2,49,7,4,73,1,3,15,26,35,?,cluster1
376,0,31,2,48,7,3,73,1,3,15,26,35,?,cluster1
377,0,30,2,48,7,4,72,1,3,14,25,34,?,cluster1
378,0,30,2,47,7,3,72,1,3,14,25,34,?,cluster0
379,0,30,2,48,7,4,72,1,3,14,25,34,?,cluster1
380,0,30,2,47,7,3,72,1,3,14,25,34,?,cluster0
381,0,29,2,47,7,4,71,1,3,13,24,33,?,cluster1
382,0,29,2,46,7,3,71,1,3,13,24,33,?,cluster0
383,0,7,0,16,0,5,22,0,3,2,6,9,?,cluster0
384,0,10,0,20,2,4,27,0,3,4,9,12,?,cluster0
385,0,8,0,17,0,5,26,0,3,2,7,10,?,cluster0
386,0,11,0,21,2,4,31,0,3,4,10,13,?,cluster0
387,0,8,0,15,0,3,25,0,2,2,7,10,?,cluster0
388,0,11,0,19,2,2,30,0,2,4,10,13,?,cluster0
389,0,17,1,21,2,0,21,0,0,16,16,17,?,cluster0
390,0,2,0,3,0,0,4,0,0,0,1,1,?,cluster0
391,0,2,0,3,0,0,4,0,0,0,1,1,?,cluster0
392,0,4,0,5,0,0,6,0,0,2,2,2,?,cluster0
393,0,3,0,4,0,0,4,0,0,1,1,1,?,cluster0
394,0,2,0,3,0,0,4,0,0,0,1,1,?,cluster0
