@relation training_10.arff

@attribute STATEMENTS numeric
@attribute INVOCATIONS numeric
@attribute EQUAL numeric
@attribute FIELDS numeric
@attribute THROWS numeric
@attribute DEREFERNCES numeric
@attribute IF numeric
@attribute LOCALS numeric
@attribute NEW numeric
@attribute GOTO numeric
@attribute FIELDS_WRITTEN numeric
@attribute ASSIGNMENTS numeric
@attribute class {hot,cold}

@data
2,0,0,1,0,1,0,2,0,0,0,1,?
7,4,0,1,0,1,0,11,1,0,0,5,?
2,0,0,1,0,1,0,2,0,0,0,1,?
3,0,0,1,0,2,0,2,0,0,1,1,?
4,1,0,2,0,2,0,2,0,0,1,2,?
25,10,0,10,0,10,0,28,4,0,8,20,?
1,0,0,0,0,0,0,0,0,0,0,0,?
7,1,0,1,0,1,2,6,0,3,0,2,?
3,0,0,1,0,1,1,2,0,1,0,1,?
2,1,0,0,0,0,0,0,0,0,0,0,?
3,1,0,0,0,1,0,1,0,0,0,0,?
5,1,0,0,0,3,0,6,0,0,0,0,?
2,1,0,0,0,0,0,0,0,0,0,0,?
3,1,0,0,0,1,0,2,0,0,0,0,?
3,1,0,0,0,1,0,2,0,0,0,0,?
29,6,0,6,0,13,3,37,0,6,0,9,?
28,6,0,6,0,13,3,38,0,5,0,9,?
28,6,0,6,0,13,3,38,0,5,0,9,?
27,6,0,6,0,13,3,39,0,4,0,9,?
28,6,0,6,0,13,3,38,0,5,0,9,?
27,6,0,6,0,13,3,39,0,4,0,9,?
27,6,0,6,0,13,3,39,0,4,0,9,?
26,6,0,6,0,13,3,40,0,3,0,9,?
7,1,0,0,0,5,0,12,0,0,0,0,?
5,1,0,0,0,3,0,8,0,0,0,0,?
7,4,0,0,0,1,0,11,1,0,0,4,?
131,110,0,12,0,12,0,70,8,0,10,41,?
10,3,0,2,0,5,1,14,0,1,0,3,?
7,1,0,1,0,4,1,8,0,1,0,2,?
10,3,0,2,0,5,1,14,0,1,0,3,?
7,1,0,1,0,4,1,8,0,1,0,2,?
23,15,0,1,0,2,0,37,2,1,0,16,?
7,3,0,0,0,1,0,9,0,1,0,3,?
6,3,0,0,0,1,0,9,0,0,0,3,?
24,7,0,11,0,14,1,30,1,1,11,16,?
23,7,0,10,0,13,1,29,1,1,10,15,?
3,0,0,1,0,2,0,2,0,0,1,1,?
10,4,2,2,0,3,2,10,0,2,0,3,?
9,3,2,2,0,3,2,9,0,2,0,3,?
9,3,2,2,0,3,2,10,0,2,0,3,?
8,2,2,2,0,3,2,9,0,2,0,3,?
23,10,2,1,0,6,2,41,2,2,0,15,?
20,7,2,1,0,6,2,34,2,2,0,13,?
16,4,1,1,0,6,1,26,2,1,0,10,?
12,6,0,1,1,2,0,21,2,0,0,8,?
6,1,0,1,0,2,0,10,1,0,0,4,?
5,1,0,0,1,1,0,7,1,0,0,2,?
6,1,0,1,0,2,0,6,1,1,0,2,?
5,1,0,0,1,1,0,7,1,0,0,2,?
6,1,0,1,0,2,0,6,1,1,0,2,?
5,1,0,0,1,1,0,7,1,0,0,2,?
6,1,0,1,0,2,0,6,1,1,0,2,?
5,1,0,0,1,1,0,7,1,0,0,2,?
6,1,0,1,0,2,0,6,1,1,0,2,?
5,1,0,0,1,1,0,7,1,0,0,2,?
32,18,0,0,0,2,2,58,3,3,0,23,?
20,12,0,0,0,1,1,36,2,1,0,15,?
8,3,1,0,0,1,1,10,0,2,0,4,?
11,4,2,0,0,1,2,14,0,3,0,6,?
14,6,3,0,0,1,3,19,0,4,0,8,?
20,12,3,0,1,1,3,32,2,3,0,13,?
5,1,0,0,0,2,0,3,0,1,0,0,?
3,0,0,0,0,1,0,3,0,0,0,1,?
13,1,0,6,0,6,1,13,0,2,1,7,?
9,0,0,3,0,3,1,9,0,2,0,4,?
4,0,0,0,1,1,0,5,0,0,0,1,?
3,1,0,0,0,1,0,1,0,0,0,0,?
6,1,0,3,0,3,0,3,1,0,3,4,?
8,1,0,0,0,6,0,12,0,0,0,0,?
16,6,0,2,0,6,3,22,0,3,0,6,?
14,4,0,2,0,6,3,20,0,3,0,5,?
13,3,0,2,0,6,3,15,0,3,0,4,?
11,1,0,2,0,6,3,13,0,3,0,3,?
11,3,0,1,0,5,2,12,0,2,0,3,?
9,1,0,1,0,5,2,10,0,2,0,2,?
1,0,0,0,0,0,0,0,0,0,0,0,?
2,1,0,0,0,0,0,0,0,0,0,0,?
3,1,0,0,0,1,0,1,0,0,0,0,?
3,1,0,0,0,1,0,1,0,0,0,0,?
5,1,0,0,0,3,0,6,0,0,0,0,?
14,3,0,8,0,9,0,15,0,0,8,10,?
21,3,0,12,0,15,0,27,0,0,12,15,?
13,2,0,8,0,10,0,13,0,0,8,8,?
20,2,0,12,0,16,0,25,0,0,12,13,?
34,2,0,5,0,8,3,60,1,4,4,27,?
19,2,0,4,0,6,2,26,1,2,4,14,?
33,2,0,5,0,8,3,58,1,4,4,26,?
18,2,0,4,0,6,2,24,1,2,4,13,?
4,1,0,0,0,0,0,5,1,0,0,2,?
5,2,0,1,0,2,0,4,0,0,0,1,?
42,14,1,15,0,18,3,63,3,4,8,32,?
35,13,1,14,0,16,2,53,2,2,8,28,?
31,13,1,13,0,15,1,48,1,1,7,25,?
20,1,1,6,0,7,1,39,0,2,0,16,?
18,0,1,5,0,6,1,36,0,1,0,15,?
4,1,0,1,0,1,0,3,1,0,1,2,?
11,6,0,0,0,1,0,15,1,1,0,4,?
6,3,0,0,0,1,0,9,0,0,0,2,?
7,0,0,0,0,3,1,8,0,2,0,2,?
6,0,0,0,0,3,1,8,0,1,0,2,?
12,0,1,0,0,4,3,18,0,4,0,5,?
11,0,1,0,0,4,3,18,0,3,0,5,?
9,0,1,0,0,3,2,14,0,2,0,4,?
7,0,0,0,0,3,1,10,0,1,0,3,?
