@relation training_50.arff

@attribute THROWS numeric
@attribute GOTO numeric
@attribute STATEMENTS numeric
@attribute INVOCATIONS numeric
@attribute ASSIGNMENTS numeric
@attribute LOCALS numeric
@attribute IF numeric
@attribute DEREFERNCES numeric
@attribute FIELDS_WRITTEN numeric
@attribute FIELDS numeric
@attribute NEW numeric
@attribute EQUAL numeric
@attribute class {hot,cold}

@data
0,13,62,11,43,115,12,21,3,20,0,3,?
0,12,58,12,41,111,11,16,2,15,0,2,?
0,16,71,13,48,133,15,22,3,21,0,3,?
0,15,68,12,47,129,14,21,3,20,0,2,?
0,15,72,14,49,136,13,23,4,22,0,2,?
0,16,69,12,47,129,15,22,3,21,0,3,?
0,8,56,12,40,104,6,21,4,20,0,2,?
0,9,53,10,38,97,8,20,3,19,0,3,?
0,2,23,7,16,37,2,8,1,7,0,1,?
0,11,89,2,73,177,10,46,7,37,0,2,?
0,10,77,2,63,149,9,37,7,28,0,2,?
0,11,81,2,66,159,10,39,6,30,0,2,?
0,9,83,3,69,164,8,42,8,33,0,2,?
0,10,87,3,72,174,9,44,7,35,0,2,?
0,10,79,1,65,156,9,39,6,30,0,2,?
0,11,93,4,76,183,10,46,8,36,0,2,?
0,12,97,4,79,193,11,48,7,38,0,2,?
0,12,89,2,72,175,11,43,6,33,0,2,?
0,8,75,2,62,152,8,34,3,24,0,1,?
0,11,95,3,78,190,10,48,7,38,0,2,?
0,10,83,3,68,162,9,39,7,29,0,2,?
0,11,87,3,71,172,10,41,6,31,0,2,?
0,10,75,1,61,150,9,39,5,31,0,2,?
0,9,63,1,51,122,8,30,5,22,0,2,?
0,10,67,1,54,132,9,32,4,24,0,2,?
0,8,69,2,57,137,7,35,6,27,0,2,?
0,9,73,2,60,147,8,37,5,29,0,2,?
0,9,65,0,53,129,8,32,4,24,0,2,?
0,10,82,3,67,160,9,41,8,33,0,2,?
0,11,86,3,70,170,10,43,7,35,0,2,?
0,11,78,1,63,152,10,38,6,30,0,2,?
0,7,64,1,53,129,7,29,3,21,0,1,?
0,10,84,2,69,167,9,43,7,35,0,2,?
0,9,72,2,59,139,8,34,7,26,0,2,?
0,10,76,2,62,149,9,36,6,28,0,2,?
0,12,94,3,76,186,11,47,7,38,0,2,?
0,11,82,3,66,158,10,38,7,29,0,2,?
0,12,86,3,69,168,11,40,6,31,0,2,?
0,10,88,4,72,173,9,43,8,34,0,2,?
0,11,92,4,75,183,10,45,7,36,0,2,?
0,11,84,2,68,165,10,40,6,31,0,2,?
0,9,68,2,55,133,8,34,6,27,0,2,?
0,10,72,2,58,143,9,36,5,29,0,2,?
0,10,64,0,51,125,9,31,4,24,0,2,?
0,6,50,0,41,102,6,22,1,15,0,1,?
0,9,70,1,57,140,8,36,5,29,0,2,?
0,8,58,1,47,112,7,27,5,20,0,2,?
0,9,62,1,50,122,8,29,4,22,0,2,?
0,11,82,2,66,162,10,44,7,36,0,2,?
0,10,70,2,56,134,9,35,7,27,0,2,?
0,11,74,2,59,144,10,37,6,29,0,2,?
0,9,76,3,62,149,8,40,8,32,0,2,?
0,10,80,3,65,159,9,42,7,34,0,2,?
0,10,72,1,58,141,9,37,6,29,0,2,?
0,11,86,4,69,168,10,44,8,35,0,2,?
0,12,90,4,72,178,11,46,7,37,0,2,?
0,12,82,2,65,160,11,41,6,32,0,2,?
0,8,68,2,55,137,8,32,3,23,0,1,?
