@relation training_10.arff

@attribute INVOCATIONS numeric
@attribute FIELDS numeric
@attribute NEW numeric
@attribute EQUAL numeric
@attribute LOCALS numeric
@attribute STATEMENTS numeric
@attribute DEREFERNCES numeric
@attribute THROWS numeric
@attribute IF numeric
@attribute ASSIGNMENTS numeric
@attribute GOTO numeric
@attribute FIELDS_WRITTEN numeric
@attribute class {hot,cold}

@data
0,1,0,0,4,4,3,0,0,1,0,1,hot
0,1,0,0,4,3,2,0,0,1,0,0,hot
1,0,0,0,4,4,2,0,0,0,0,0,hot
0,2,0,0,7,6,5,0,0,2,0,2,hot
0,1,0,0,4,3,2,0,0,1,0,0,hot
0,1,0,0,4,3,2,0,0,1,0,0,hot
0,1,0,0,4,4,3,0,0,1,0,1,hot
0,1,0,0,4,3,2,0,0,1,0,0,hot
0,1,0,0,4,4,3,0,0,1,0,1,hot
0,1,0,0,4,3,2,0,0,1,0,0,hot
0,1,0,0,4,4,3,0,0,1,0,1,hot
0,1,0,0,4,3,2,0,0,1,0,0,hot
0,1,0,0,4,3,2,0,0,1,0,0,hot
0,1,0,0,4,4,3,0,0,1,0,1,hot
0,1,0,0,4,3,2,0,0,1,0,0,hot
0,1,0,0,4,4,3,0,0,1,0,1,hot
0,1,0,0,4,3,2,0,0,1,0,0,hot
0,1,0,0,4,4,3,0,0,1,0,1,hot
0,1,0,0,4,3,2,0,0,1,0,0,hot
0,1,0,0,4,4,3,0,0,1,0,1,hot
0,1,0,0,4,4,3,0,0,1,0,1,hot
0,1,0,0,4,3,2,0,0,1,0,0,hot
0,1,0,0,4,4,3,0,0,1,0,1,hot
0,1,0,0,4,3,2,0,0,1,0,0,hot
0,1,0,0,4,4,3,0,0,1,0,1,hot
0,1,0,0,4,3,2,0,0,1,0,0,hot
1,1,0,0,6,5,3,0,0,1,0,0,hot
0,2,0,1,7,6,3,0,1,2,2,0,hot
0,1,0,1,6,5,2,0,1,2,1,0,hot
0,1,0,0,4,4,3,0,0,1,0,1,hot
0,1,0,0,4,3,2,0,0,1,0,0,hot
0,1,0,0,4,4,3,0,0,1,0,1,hot
2,1,0,0,9,6,2,0,1,3,1,0,hot
6,2,1,0,22,14,3,0,3,8,3,0,cold
6,2,1,0,22,14,3,0,3,8,3,0,cold
5,3,2,0,22,14,4,1,2,8,2,0,cold
7,1,0,3,28,18,2,0,4,11,5,0,cold
6,1,0,3,26,17,2,0,4,10,5,0,cold
5,1,0,3,20,14,2,0,3,8,4,0,cold
2,1,0,1,10,7,2,0,1,4,1,0,hot
8,0,1,1,20,12,1,0,1,8,1,0,cold
1,0,0,1,4,4,1,0,1,1,1,0,hot
30,5,4,6,90,52,7,0,6,34,8,0,cold
19,5,3,5,62,37,7,0,5,23,6,0,cold
24,4,3,6,74,44,6,0,6,28,8,0,cold
13,4,2,5,46,29,6,0,5,17,6,0,cold
22,5,3,5,71,41,7,0,5,27,6,0,cold
11,5,2,4,43,26,7,0,4,16,4,0,cold
16,4,2,5,55,33,6,0,5,21,6,0,cold
5,4,1,4,27,18,6,0,4,10,4,0,cold
20,4,3,4,64,37,6,0,4,24,5,0,cold
9,4,2,3,36,22,6,0,3,13,3,0,cold
14,3,2,4,48,29,5,0,4,18,5,0,cold
3,3,1,3,20,14,5,0,3,7,3,0,cold
9,3,0,3,41,23,6,0,3,10,4,0,cold
6,3,0,2,29,16,6,0,2,6,2,0,cold
8,2,0,3,34,20,5,0,3,8,4,0,cold
5,2,0,2,22,13,5,0,2,4,2,0,cold
2,0,0,0,9,6,3,0,0,0,0,0,hot
3,0,0,0,14,8,3,0,0,1,0,0,hot
1,0,0,0,2,3,1,0,0,0,0,0,hot
20,1,7,0,55,35,2,0,2,18,3,0,cold
18,1,7,0,48,31,2,0,1,17,1,0,cold
2,1,0,0,10,9,2,0,2,3,2,0,hot
1,0,0,0,8,7,1,0,2,2,2,0,hot
2,1,0,0,7,7,2,0,1,2,1,0,hot
6,5,0,2,28,19,7,0,4,11,4,2,cold
6,4,0,2,27,18,6,0,4,10,4,1,cold
5,3,0,2,23,15,5,0,3,8,3,1,cold
9,5,0,3,39,25,7,0,6,14,6,2,cold
9,4,0,3,38,24,6,0,6,13,6,1,cold
8,3,0,3,34,21,5,0,5,11,5,1,cold
8,5,0,3,37,24,7,0,6,14,6,2,cold
8,4,0,3,36,23,6,0,6,13,6,1,cold
7,3,0,3,32,20,5,0,5,11,5,1,cold
